idx	X	Y	component
0	1000	1039.269277780199	0
1	12828.52225406069	1038.713836881814	0
2	12828.52238822905	1038.714001577612	0
3	12828.43861144424	1038.608056794525	0
4	12828.44125164113	1038.611372253416	0
5	12821.26500855003	1029.805343230397	0
6	12821.26513667203	1029.805492708183	0
7	12820.8970751434	1028.879267380477	0
8	12821.26483383354	1029.805064588588	0
9	12820.89707546083	1028.879198595303	0
10	12820.89707785585	1028.879213813584	0
11	23410.62618015712	1035.401540551071	0
12	23410.61921568831	1035.409062701401	0
13	23410.63177733321	1035.393450706491	0
14	23410.62616910937	1035.401540562357	0
15	29711.02620510945	1032.216383635685	0
16	29711.02620440976	1032.216368965662	0
17	29711.86898899054	1032.757809548865	0
18	29711.02619642398	1032.216383634029	0
19	29711.86903193917	1032.757807676079	0
20	29711.86903194017	1032.757807676078	0
21	33273.20393180865	1032.895316898204	0
22	33273.20395207451	1032.895316896542	0
23	33273.94316205155	1033.571089935287	0
24	33273.20413888592	1032.895369424662	0
25	33273.94437024293	1033.570722946729	0
26	33273.94437786664	1033.570722948868	0
27	45104.46392411726	1035.184245041016	0
28	45104.46348549599	1035.184286368128	0
29	45105.42261916373	1034.892526424935	0
30	45104.46395658774	1035.184245041098	0
31	45105.42367873846	1034.892635814052	0
32	45105.42378826256	1034.89263581572	0
33	51732.6020666994	1034.513140369043	0
34	51732.60126770729	1034.513106038418	0
35	51733.60228219604	1034.605013830336	0
36	51732.60205831178	1034.513140370024	0
37	51733.60331029079	1034.604933991532	0
38	51733.60391585364	1034.604932878899	0
39	59268.79771261534	1032.006157097941	0
40	59268.79765129429	1032.006157101892	0
41	59269.80892419346	1032.005942044909	0
42	59268.79818652103	1032.006157067449	0
43	59269.80921055599	1032.00594210931	0
44	59269.80958039911	1032.005942059651	0
45	120467.3018937614	1031.573612185538	0
46	120467.2980447919	1031.573618368235	0
47	120468.3217275592	1031.573077009115	0
48	120467.3022509379	1031.573611933081	0
49	120468.3249426956	1031.573071237532	0
50	120468.3255436629	1031.57307073466	0
51	153036.6161585836	1000.00000828101	0
52	153036.6160161507	1000.000127286103	0
53	152224.8988510834	1038.045181483557	0
54	153036.6164323309	1000.000127183563	0
55	152219.3343498701	1044.504131320904	0
56	153036.6166872546	1000.000086063204	0
57	152246.049457019	1058.520105602357	0
58	153036.6154767838	1000.000094890875	0
59	152306.8771653981	1341.03434198867	0
60	153036.6156745193	1000.000201602522	0
61	154070.7882713802	1005.589128936156	0
62	153036.6156425793	1000.000149083716	0
63	154073.9422589146	1019.933296529296	0
64	153036.616289407	1000.000018859214	0
65	154070.0531826043	1050.913947942366	0
66	153036.6153639238	1000.00006976759	0
67	154094.0377908405	1022.78547224557	0
68	153036.6159904975	1000	0
69	154090.6236795887	1023.988783368545	0
70	153036.6159337958	1000.000039388528	0
71	154089.427870996	1022.327974672603	0
